product_name,total_sales
esporte_lazer,254.70000000000002
consoles_games,12.99
perfumaria,370.4
papelaria,36.0
informatica_acessorios,269.0
informatica_acessorios,91.98
automotivo,481.0
relogios_presentes,349.9
automotivo,683.6
bebidas,142.0
pet_shop,104.0
cama_mesa_banho,169.0
pet_shop,103.0
utilidades_domesticas,636.0
ferramentas_jardim,60.5
construcao_ferramentas_ferramentas,34.9
perfumaria,427.0
telefonia,109.94999999999999
automotivo,99.9
esporte_lazer,439.9
construcao_ferramentas_construcao,419.0
brinquedos,57.99
cool_stuff,156.0
moveis_decoracao,149.9
cool_stuff,250.0
cama_mesa_banho,259.9
telefonia,19.89
esporte_lazer,340.0
eletrodomesticos_2,533.0
beleza_saude,131.25
relogios_presentes,348.0
relogios_presentes,717.0
moveis_decoracao,233.88
papelaria,171.0
beleza_saude,153.9
fashion_bolsas_e_acessorios,29.99
automotivo,18.7
utilidades_domesticas,68.0
automotivo,90.5
cama_mesa_banho,118.58
utilidades_domesticas,54.0
bebes,13.9
papelaria,139.9
utilidades_domesticas,27.9
esporte_lazer,191.94
papelaria,45.0
eletronicos,79.99
agro_industria_e_comercio,359.8
eletroportateis,759.05
beleza_saude,48.0
industria_comercio_e_negocios,699.99
construcao_ferramentas_seguranca,285.8
telefonia,339.5
perfumaria,3507.7000000000003
fashion_calcados,84.9
fashion_bolsas_e_acessorios,12.0
informatica_acessorios,65.78
ferramentas_jardim,346.69
dvds_blu_ray,19.9
livros_tecnicos,65.9
brinquedos,49.99
moveis_decoracao,719.4
telefonia,99.98
utilidades_domesticas,15.99
automotivo,49.9
utilidades_domesticas,49.5
pet_shop,19.5
moveis_escritorio,379.88
moveis_quarto,4040.0
brinquedos,119.69999999999999
esporte_lazer,840.0
esporte_lazer,79.8
automotivo,305.0
automotivo,59.9
moveis_decoracao,12.9
esporte_lazer,57.98
cool_stuff,199.0
beleza_saude,349.5
esporte_lazer,69.9
esporte_lazer,44.9
casa_construcao,119.85
moveis_decoracao,342.78
bebes,750.0
informatica_acessorios,378.0
eletronicos,174.0
informatica_acessorios,89.0
informatica_acessorios,59.9
bebes,37.88
pet_shop,44.24
moveis_sala,104.8
automotivo,22.0
moveis_escritorio,330.0
moveis_escritorio,3690.4900000000002
eletronicos,237.0
beleza_saude,129.98
eletrodomesticos,40.7
construcao_ferramentas_seguranca,299.98
utilidades_domesticas,39.9
moveis_decoracao,148.0
telefonia,34.99
cama_mesa_banho,403.5
perfumaria,2842.95
construcao_ferramentas_jardim,24.99
brinquedos,18.8
bebes,299.99
papelaria,240.0
moveis_decoracao,42.9
relogios_presentes,977.51
malas_acessorios,769.4000000000001
cama_mesa_banho,779.2
cama_mesa_banho,41.14
utilidades_domesticas,120.0
fashion_bolsas_e_acessorios,49.9
utilidades_domesticas,169.6
cama_mesa_banho,120.0
automotivo,99.0
utilidades_domesticas,215.7
eletronicos,59.0
eletronicos,533.0
utilidades_domesticas,159.6
casa_construcao,75.9
moveis_decoracao,139.0
moveis_decoracao,49.99
moveis_escritorio,799.95
automotivo,150.0
esporte_lazer,44.9
malas_acessorios,34.9
cama_mesa_banho,59.9
malas_acessorios,390.0
moveis_decoracao,143.39999999999998
esporte_lazer,89.8
dvds_blu_ray,19.9
telefonia,1954.3999999999999
moveis_escritorio,229.99
ferramentas_jardim,279.92
beleza_saude,163.47
perfumaria,51.9
beleza_saude,84.98
moveis_decoracao,99.0
perfumaria,51.4
utilidades_domesticas,147.0
beleza_saude,259.8
moveis_escritorio,1816.91
pet_shop,146.04
telefonia,1611.55
bebes,149.0
beleza_saude,209.89
perfumaria,39.9
moveis_quarto,13.8
telefonia,21.99
livros_interesse_geral,26.0
moveis_escritorio,245.98
beleza_saude,90.0
brinquedos,72.9
esporte_lazer,149.9
utilidades_domesticas,377.0
ferramentas_jardim,339.8
utilidades_domesticas,59.9
fashion_bolsas_e_acessorios,34.9
utilidades_domesticas,87.5
automotivo,69.5
eletrodomesticos,25.0
esporte_lazer,4797.0
automotivo,59.9
relogios_presentes,199.99
automotivo,89.9
cool_stuff,159.99
moveis_decoracao,708.0
utilidades_domesticas,45.0
utilidades_domesticas,27.9
cama_mesa_banho,987.1
ferramentas_jardim,669.0
esporte_lazer,425.0
perfumaria,195.5
cool_stuff,232.77
bebes,478.0
esporte_lazer,50.4
